keys,fr,en
# ─── GAME FLOW ─────────────────────────────────────,,
BTN_ADVANCE,Tour suivant,Advance one turn
BTN_QUIT,Quitter,Quit
BTN_TOGGLE_LANG,Switch to english,Passer en français
LABEL_TURN,Tour %d,Turn %d
LABEL_RUN_ENDED,Partie terminée — %s,Run ended — %s
LABEL_REACTOR_DEAD,Réacteur éteint,Reactor dead
LABEL_COLONY_LOST,Colonie perdue,Colony lost
POPUP_RUN_ENDED,Partie terminée,Run ended
POPUP_FINAL_SCORE,Score final : %d / %d survivants sauvés.,Final score: %d / %d survivors saved.
,,
# ─── RESOURCES ─────────────────────────────────────,,
RES_FOOD,Nourriture,Food
RES_MEAL,Repas,Meal
RES_WOOD,Bois,Wood
RES_ORE,Minerai,Ore
RES_TOOLS,Outils,Tools
RES_ELECTRICITY,Électricité,Electricity
RES_HEAT,Chaleur,Heat
,,
# ─── RESOURCES : ANCIENS LABELS (à auditer) ────────,,
LABEL_FOOD,Nourriture : %.1f   (+%.1f / -%.1f),Food: %.1f   (+%.1f / -%.1f)
LABEL_WOOD,Bois : %.1f   (+%.1f),Wood: %.1f   (+%.1f)
LABEL_ORE,Minerai : %.1f   (+%.1f),Ore: %.1f   (+%.1f)
LABEL_HEAT,Chaleur (ce tour) : %.1f,Heat (this turn): %.1f
LABEL_REACTOR,Réacteur : %.0f,Reactor: %.0f
LABEL_SYNTH_COST,synthé : -%.0f,synth: -%.0f
LABEL_USABLE,utilisable : %.1f,usable: %.1f
LABEL_ELEC_HEADER,Électricité — ,Electricity — 
,,
# ─── PRODUCTION VIEW ───────────────────────────────,,
LABEL_PRODUCTION_TITLE,Production,Production
PROD_HEADER_CONSUMED,Consommé,Consumed
PROD_HEADER_DELTA,Stock,Stock
PROD_HEADER_IMPOSSIBLE,Impossible,Impossible
PROD_RISKY_TITLE,Production aléatoire,Random production
,,
# ─── FAMINE ────────────────────────────────────────,,
LABEL_FAMINE,⚠ Famine — tour %d,⚠ Famine — turn %d
,,
# ─── MAP & TILES ───────────────────────────────────,,
LABEL_MAP_TITLE,Carte de surface (cliquez une tuile pour assigner),Surface map (click a tile to assign)
LABEL_LEGEND_1,Légende : B/P/F/M = Bunker/Plaine/Forêt/Montagne,"Legend:  B/P/F/M = Bunker/Plains/Forest/Mountain"
LABEL_LEGEND_2,Couleur = type de tuile,"Tile color = type, letter on tile = worker initial when assigned"
TILE_TYPE_BUNKER,Bunker,Bunker
TILE_TYPE_PLAINS,Plaine,Plains
TILE_TYPE_FOREST,Forêt,Forest
TILE_TYPE_MOUNTAIN,Montagne,Mountain
TILE_TYPE_SETTLEMENT,Colonie,Settlement
LABEL_IN_BUNKER,au bunker,in bunker
LABEL_AT_TILE,sur ,@ 
LABEL_HERE,  (ici),  (here)
LABEL_CURRENTLY_AT,  ← actuellement sur ,  ← currently @ 
LABEL_CLEAR_TILE,Libérer la tuile,Clear tile
,,
# ─── SURVIVANTS : RÉVEIL & CRYO ────────────────────,,
BTN_WAKE,Réveiller (-%.0f élec),Wake (-%.0f reserve)
BTN_WAKE_SHORT,Réveiller,Wake
BTN_SEARCH,Chercher (-%.0f élec),Search (-%.0f reserve)
LABEL_SEARCH_FOR,  Chercher :,  Search for:
SEARCH_FAILED,  Aucun(e) %s en cryo. Énergie perdue.,  No %s found in cryo. Reserve spent.
LABEL_AWAKE,Éveillés (%d),Awake (%d)
LABEL_NOBODY_AWAKE,  (personne d'éveillé pour le moment),  (nobody awake yet)
LABEL_ASLEEP_HEADER,Pool d'éveil — Encore en cryo : %d,Awakening pool — Still in cryo: %d
LABEL_CRYO_EMPTY,  (la cryo est vide),  (cryo bay is empty)
LABEL_STILL_IN_CRYO,File de rêveil : %d,Awakening pool: %d
,,
# ─── WORKERS & ASSIGNATION ─────────────────────────,,
LABEL_ASSIGN_WORKER,Affecter un travailleur,Assign a worker
LABEL_NO_AVAILABLE_WORKER,(aucun éveillé pour le moment),(no awake survivor yet)
LABEL_NO_WORKER,(aucun travailleur disponible),(no available worker)
TOOLTIP_CLICK_TO_UNASSIGN,(Clic pour retirer),(Click to unassign)
BTN_ASSIGN,Affecter,Assign
BTN_UNASSIGN,Retirer,Unassign
BTN_ASSIGN_WORKER,Affecter,Assign
LABEL_CLEAR_BUILDING,Vider le bâtiment,Clear building
,,
# ─── ROLES (bâtiments) ─────────────────────────────,,
ROLE_BUILDING_WORKER,Travailleur,Worker
ROLE_IDLE,Inactif,Idle
ROLE_BUILDER,Bâtisseur,Builder
ROLE_SYNTH_OPERATOR,Opérateur synthé,Synth operator
ROLE_FIRE_KEEPER,Gardien du feu,Fire keeper
ROLE_COOK,Cuisinier,Cook
ROLE_TOOLMAKER,Outilleur,Toolmaker
,,
# ─── ROLES : ANCIENS (à auditer) ───────────────────,,
ROLE_GATHERER,Cueilleur,Gatherer
ROLE_FARMER,Cultivateur,Farmer
ROLE_HERBALIST,Herboriste,Herbalist
ROLE_LUMBERJACK,Bûcheron,Lumberjack
ROLE_MINER,Mineur,Miner
,,
